day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;INTARIAN_PEPPER_ROOT;11991;19;11989;44;11987;18;12005;7;12008;13;12009;20;11998.0;0.0
1;0;ASH_COATED_OSMIUM;9988;19;9985;54;;;10004;6;10007;15;;;9996.0;0.0
1;100;INTARIAN_PEPPER_ROOT;11993;20;11992;42;11990;26;12007;13;12010;21;12011;14;12000.0;0.0
1;100;ASH_COATED_OSMIUM;9992;5;9991;14;;;10010;7;10011;10;;;10001.0;0.0
1;200;INTARIAN_PEPPER_ROOT;11991;8;11988;18;11987;23;12005;14;12008;38;12009;14;11998.0;0.0
1;200;ASH_COATED_OSMIUM;9987;13;9984;30;;;10007;14;10009;33;;;9997.0;0.0
1;300;INTARIAN_PEPPER_ROOT;11992;20;11989;38;11987;20;12007;9;12009;16;12010;25;11999.5;0.0
1;300;ASH_COATED_OSMIUM;9985;7;9983;16;9981;26;10003;15;10005;27;10007;23;9994.0;0.0
1;400;INTARIAN_PEPPER_ROOT;11992;9;11991;26;11990;22;12006;11;12007;25;12008;17;11999.0;0.0
1;400;ASH_COATED_OSMIUM;9987;19;9985;45;9983;10;10005;8;10007;21;10009;17;9996.0;0.0
1;500;INTARIAN_PEPPER_ROOT;11994;18;11991;46;11989;27;12006;17;12008;49;12009;19;12000.0;0.0
1;500;ASH_COATED_OSMIUM;9992;15;9989;41;9987;17;10010;19;10013;33;10015;17;10001.0;0.0
1;600;INTARIAN_PEPPER_ROOT;11994;11;11993;19;;;12006;10;12007;28;;;12000.0;0.0
1;600;ASH_COATED_OSMIUM;9988;12;9986;22;9985;18;10006;9;10007;22;10008;29;9997.0;0.0
1;700;INTARIAN_PEPPER_ROOT;11993;14;11990;30;;;12007;18;12010;50;;;12000.0;0.0
1;700;ASH_COATED_OSMIUM;9989;20;9987;38;;;10009;15;10010;32;;;9999.0;0.0
1;800;INTARIAN_PEPPER_ROOT;11992;18;11990;46;;;12006;10;12008;19;;;11999.0;0.0
1;800;ASH_COATED_OSMIUM;9993;17;9992;37;;;10009;14;10012;30;;;10001.0;0.0
1;900;INTARIAN_PEPPER_ROOT;11992;20;11991;47;;;12006;16;12008;38;;;11999.0;0.0
1;900;ASH_COATED_OSMIUM;9991;14;9988;29;;;10009;8;10010;15;;;10000.0;0.0
1;1000;INTARIAN_PEPPER_ROOT;11992;12;11990;34;;;12006;15;12008;24;;;11999.0;0.0
1;1000;ASH_COATED_OSMIUM;9991;8;9988;14;;;10011;11;10012;24;;;10001.0;0.0
1;1100;INTARIAN_PEPPER_ROOT;11993;7;11990;12;;;12007;5;12008;13;;;12000.0;0.0
1;1100;ASH_COATED_OSMIUM;9989;18;9986;50;;;10007;17;10010;40;;;9998.0;0.0
1;1200;INTARIAN_PEPPER_ROOT;11991;9;11990;25;;;12006;20;12007;40;;;11998.5;0.0
1;1200;ASH_COATED_OSMIUM;9992;10;9991;21;;;10010;5;10013;8;;;10001.0;0.0
1;1300;INTARIAN_PEPPER_ROOT;11993;11;11991;25;;;12008;12;12011;30;;;12000.5;0.0
1;1300;ASH_COATED_OSMIUM;9989;19;9988;44;9986;23;10007;7;10009;17;10011;18;9998.0;0.0
1;1400;INTARIAN_PEPPER_ROOT;11994;15;11992;38;;;12006;16;12007;38;;;12000.0;0.0
1;1400;ASH_COATED_OSMIUM;9988;6;9985;10;;;10008;19;10009;40;;;9998.0;0.0
1;1500;INTARIAN_PEPPER_ROOT;11992;16;11989;33;11988;25;12006;19;12009;36;12010;14;11999.0;0.0
1;1500;ASH_COATED_OSMIUM;9992;10;9991;24;;;10010;16;10011;29;;;10001.0;0.0
