tp=5 sl=8 | def=Total profit: 131,747 | imc=Total profit: 123,109
tp=5 sl=12 | def=Total profit: 131,747 | imc=Total profit: 123,109
tp=5 sl=15 | def=Total profit: 131,747 | imc=Total profit: 123,109
tp=5 sl=20 | def=Total profit: 131,747 | imc=Total profit: 123,109
tp=8 sl=8 | def=Total profit: 134,515 | imc=Total profit: 126,326
tp=8 sl=12 | def=Total profit: 134,515 | imc=Total profit: 126,326
tp=8 sl=15 | def=Total profit: 134,515 | imc=Total profit: 126,326
tp=8 sl=20 | def=Total profit: 134,515 | imc=Total profit: 126,326
tp=10 sl=8 | def=Total profit: 134,200 | imc=Total profit: 125,763
tp=10 sl=12 | def=Total profit: 134,200 | imc=Total profit: 125,763
tp=10 sl=15 | def=Total profit: 134,200 | imc=Total profit: 125,763
tp=10 sl=20 | def=Total profit: 134,200 | imc=Total profit: 125,763
tp=15 sl=8 | def=Total profit: 134,333 | imc=Total profit: 126,566
tp=15 sl=12 | def=Total profit: 134,333 | imc=Total profit: 126,566
tp=15 sl=15 | def=Total profit: 134,333 | imc=Total profit: 126,566
tp=15 sl=20 | def=Total profit: 134,333 | imc=Total profit: 126,566
