qs=15 | def=Total profit: 130,346 | imc=Total profit: 122,576
qs=25 | def=Total profit: 134,708 | imc=Total profit: 126,232
qs=50 | def=Total profit: 142,277 | imc=Total profit: 131,403
qs=100 | def=Total profit: 149,971 | imc=Total profit: 140,534
qs=150 | def=Total profit: 154,808 | imc=Total profit: 147,771
qs=200 | def=Total profit: 159,276 | imc=Total profit: 150,888
---LOOKBACK---
lb=25 | def=Total profit: 135,408 | imc=Total profit: 128,034
lb=50 | def=Total profit: 134,708 | imc=Total profit: 126,232
lb=75 | def=Total profit: 131,027 | imc=Total profit: 121,827
lb=100 | def=Total profit: 131,027 | imc=Total profit: 121,827
lb=150 | def=Total profit: 131,027 | imc=Total profit: 121,827
